participant,target_object,target_object_position,target_type,pretrial_text,setSize,response,rt,correct,face,race,condition_name,block_order,gridCheck,mouseRT,mouseCorr,Tnum_position,Dnum_position,Dnum2_position,Dnum3_position,rt2,rt3,rt4,number_timeouts,over_timeouts,number_errors,mouse_number_errors,Dstim_1_image,Dstim_1_position,Dstim_2_image,Dstim_2_position,Dstim_3_image,Dstim_3_position,Dstim_4_image,Dstim_4_position,Dstim_5_image,Dstim_5_position,Dstim_6_image,Dstim_6_position,Dstim_7_image,Dstim_7_position,Dstim_8_image,Dstim_8_position,Dstim_9_image,Dstim_9_position,Dstim_10_image,Dstim_10_position,Dstim_11_image,Dstim_11_position,Dstim_12_image,Dstim_12_position,Dstim_13_image,Dstim_13_position,Dstim_14_image,Dstim_14_position,Dstim_15_image,Dstim_15_position,Dstim_16_image,Dstim_16_position,Dstim_17_image,Dstim_17_position,Dstim_18_image,Dstim_18_position,Dstim_19_image,Dstim_19_position
10322,Stapler_1,[-3.    5.16],nongun,Stapler or Gun,20.0,p,1142.0,True,BM-229,black,RaceB3,0.0,1.0,,,[-8.  0.],[3. 0.],[-3.  0.],[8. 0.],1142.0,1142.0,1142.0,0,0,0,0,bagel_8,[-15.    8.6],compass_13,[-21.    12.04],socks_8,[-15.     5.16],ring_14,[-21.     5.16],mushroom_10,[3.  8.6],lei_6,[9.   1.72],abacus_11,[3.   5.16],easteregg_redo_13,[9.   5.16],headphone_13,[9.  8.6],sippycup_4,[ 3.   -5.16],microscope_17,[21.   -1.72],trunk_1,[ 9.  -8.6],kayak_5,[15.  -8.6],orifan_14,[21.  -8.6],trumpet_4,[-21.    -1.72],pants_11,[-15.   -12.04],cookingpan_4,[-21.   -12.04],garbagetrash_8,[-15.    -5.16],bird_7,[-15.   -8.6]
10322,handgun_6,[-21.    -5.16],gun,Cellphone or Gun,20.0,q,2093.0,True,WM-208,white,RaceB3,0.0,1.0,,,[3. 0.],[8. 0.],[-3.  0.],[-8.  0.],2093.0,2093.0,2093.0,0,0,0,0,stamp_11,[-15.   -12.04],camera_1,[-9.   -5.16],bowl_4,[-9.  -8.6],bonzai_6,[ -3.   -12.04],nailpolish_6,[15.   12.04],boot_9,[15.   8.6],lock_4,[15.    5.16],sandwich_6,[9.  8.6],rock_11,[9.   5.16],trunk_15,[-15.     5.16],ring_5,[-15.    12.04],lei_9,[-9.    5.16],jacket_9,[-15.    8.6],powerstrip_9,[-9.   12.04],button_6,[15.  -8.6],frisbee_9,[ 9.  -8.6],mushroom_17,[  9.   -12.04],cookingpan_12,[ 9.   -1.72],microscope_9,[  3.   -12.04]
10322,VideoGameController_2,[15.  -8.6],nongun,VideoGameController or Gun,20.0,p,2108.0,True,BM-214,black,RaceB3,0.0,1.0,,,[3. 0.],[8. 0.],[-3.  0.],[-8.  0.],2108.0,2108.0,2108.0,0,0,0,0,bike_6,[  9.   -12.04],airplane_2,[  3.   -12.04],pen_16,[ 3.   -5.16],binoculars_16,[ 9.   -1.72],sippycup_5,[ 9.   12.04],hourglass_3,[3.  8.6],key_16,[15.    1.72],bill_9,[3.   5.16],golfball_11,[15.    5.16],snowglobe_1,[-21.    8.6],decorativescreen_17,[-3.    5.16],toyhorse_11,[-21.     1.72],scrunchie_14,[-9.   12.04],keychain_10,[-15.     1.72],camcorder_4,[-3.  -8.6],chair_3,[-3.   -5.16],balloon_6,[-9.  -8.6],trumpet_13,[-21.    -1.72],cushion_11,[ -9.   -12.04]
10322,handgun_1,[-15.    12.04],gun,Flashlight or Gun,12.0,q,2553.0,True,BM-202,black,RaceB3,0.0,1.0,,,[3. 0.],[-3.  0.],[-8.  0.],[8. 0.],2553.0,2553.0,2553.0,0,0,0,0,microwave_7,[-9.    5.16],computer_key_6,[-15.     5.16],goggle_2,[21.    1.72],beermug_1,[15.    5.16],pipe_2,[ 3.   12.04],stamp_9,[15.   -1.72],roadsign_7,[21.   -5.16],gift_17,[  9.   -12.04],toyrabbit_10,[-21.    -5.16],rug_9,[ -3.   -12.04],spoon_2,[-15.    -5.16],doll_4,[1000. 1000.],bill_2,[1000. 1000.],bottle_1,[1000. 1000.],pizza_4,[1000. 1000.],bowl_13,[1000. 1000.],flag_5,[1000. 1000.],basket_1,[1000. 1000.],dumbbell_15,[1000. 1000.]
10322,Hammer_1,[3.  8.6],nongun,Gun or Hammer,16.0,p,828.0,True,WM-033,white,RaceB3,0.0,1.0,,,[-3.  0.],[3. 0.],[-8.  0.],[8. 0.],828.0,828.0,828.0,0,0,0,0,fan_1,[ 3.   12.04],cookingpan_5,[21.    5.16],scrunchie_4,[3.   5.16],tricycle_7,[-9.    5.16],saltpeppershake_9,[-21.    8.6],rosary_16,[-15.    12.04],pokercard_16,[-21.    12.04],watch_11,[15.   -1.72],grill_11,[  3.   -12.04],cigarette_5,[15.   -5.16],scale_12,[21.   -5.16],frame_15,[-3.   -5.16],motorcycle_13,[-15.    -5.16],keyboard_15,[-21.    -5.16],necktie_7,[ -3.   -12.04],camcorder_14,[1000. 1000.],powerstrip_16,[1000. 1000.],jacket_2,[1000. 1000.],basket_5,[1000. 1000.]
10322,handgun_14,[15.   -1.72],gun,Sodacan or Gun,12.0,q,1042.0,True,BM-210,black,RaceB3,0.0,1.0,,,[-3.  0.],[8. 0.],[-8.  0.],[3. 0.],1042.0,1042.0,1042.0,0,0,0,0,necktie_12,[21.   -1.72],cupsaucer_6,[  9.   -12.04],seashell_7,[3.  8.6],bench_4,[21.    1.72],rock_15,[15.    5.16],beanbagchair_2,[-9.   8.6],butterfly_1,[-3.    5.16],cookingpan_14,[-3.   8.6],bottle_11,[-9.   -1.72],saltpeppershake_10,[-15.    -5.16],recordplayer_3,[-21.    -1.72],speakers_15,[1000. 1000.],bearteddy_6,[1000. 1000.],fan_11,[1000. 1000.],shoe_1,[1000. 1000.],trunk_12,[1000. 1000.],pokercard_4,[1000. 1000.],toothpaste_10,[1000. 1000.],microwave_1,[1000. 1000.]
10322,handgun_16,[9.   5.16],gun,Gun or Wallet,16.0,q,833.0,True,BM-002,black,RaceB3,0.0,1.0,,,[8. 0.],[-8.  0.],[3. 0.],[-3.  0.],833.0,833.0,833.0,0,0,0,0,carfront_9,[9.   1.72],stool_16,[15.   8.6],jacket_10,[21.    5.16],wineglass_14,[-21.     1.72],muffins_10,[-21.     5.16],cake_14,[-3.   8.6],camcorder_10,[-3.    5.16],patioloungechair_14,[ 9.   -5.16],bell_8,[ 3.  -8.6],sandwich_8,[15.  -8.6],cookingpan_13,[ 9.  -8.6],clock_10,[-9.   -5.16],mp3player_8,[-15.   -8.6],keychain_17,[-9.   -1.72],frisbee_7,[-3.  -8.6],coffeemug_15,[1000. 1000.],bike_15,[1000. 1000.],toyrabbit_4,[1000. 1000.],lamp_6,[1000. 1000.]
10322,handgun_9,[-15.    12.04],gun,Gun or Cellphone,20.0,q,1684.0,True,BM-237,black,RaceB3,0.0,0.0,2.1552133229997708,True,[-3.  0.],[-8.  0.],[3. 0.],[8. 0.],1684.0,1684.0,1684.0,0,0,0,0,necktie_11,[-21.     1.72],hanger_8,[-3.   12.04],tongs_10,[-9.    5.16],donut_2,[-15.     1.72],watch_4,[ 9.   12.04],cookpot_15,[9.   1.72],bike_8,[15.   8.6],pokercard_3,[21.    1.72],beanbagchair_1,[15.    1.72],windchime_8,[ 9.   -5.16],sandwich_15,[ 9.   -1.72],crib_9,[21.  -8.6],lawnmower_8,[ 3.  -8.6],patioloungechair_11,[ 3.   -5.16],compass_8,[-21.   -8.6],jack-o-lantern_2,[-3.   -5.16],mushroom_3,[-21.    -5.16],collar_13,[-9.   -1.72],breadloaf_14,[ -3.   -12.04]
10322,handgun_15,[ -3.   -12.04],gun,Flashlight or Gun,12.0,q,2792.0,True,WM-017,white,RaceB3,0.0,1.0,,,[-3.  0.],[8. 0.],[-8.  0.],[3. 0.],2792.0,2792.0,2792.0,0,0,0,0,donut_7,[-15.    -1.72],beermug_11,[-3.  -8.6],pitcher_14,[15.   12.04],boot_12,[9.   5.16],pipe_14,[ 9.   12.04],wineglass_3,[-15.    8.6],lipstick_3,[-3.   8.6],telescope_15,[-9.    1.72],flag_1,[15.  -8.6],tablesmall_15,[21.  -8.6],pokercard_7,[ 9.   -5.16],apple_9,[1000. 1000.],bed_13,[1000. 1000.],exercise_equipment_4,[1000. 1000.],lantern_15,[1000. 1000.],coffeemug_10,[1000. 1000.],handbag_5,[1000. 1000.],bird_17,[1000. 1000.],shoe_10,[1000. 1000.]
10322,handgun_11,[3.  8.6],gun,Gun or Hairbrush,12.0,q,1121.0,True,BM-216,black,RaceB3,0.0,1.0,,,[-3.  0.],[-8.  0.],[3. 0.],[8. 0.],1121.0,1121.0,1121.0,0,0,0,0,tree_13,[ 3.   12.04],toothpaste_4,[9.   1.72],makeupcompact_16,[-3.   12.04],beermug_9,[-9.    1.72],socks_13,[-15.    8.6],easteregg_redo_6,[ 3.   -5.16],cherubstatue_8,[15.  -8.6],saddle_6,[15.   -1.72],magazinecovers_7,[-21.    -1.72],sandwich_14,[-3.  -8.6],chair_4,[-9.   -1.72],christmasstocking_2,[1000. 1000.],donut_6,[1000. 1000.],cheesegrater_13,[1000. 1000.],dresser_13,[1000. 1000.],bongo_5,[1000. 1000.],dog_6,[1000. 1000.],windchime_14,[1000. 1000.],button_5,[1000. 1000.]
